|                 start |                  stop |        tstart |         tstop |       dur | rel_tstart |                 manvr |      ra |     dec |    roll |
| 2020:161:13:18:04.285 | 2020:162:01:16:45.013 | 708095953.469 | 708139074.197 | 43120.728 |    138.375 | 2020:161:12:48:23.347 |  81.318 | -69.630 | 183.056 |
| 2020:162:01:46:35.688 | 2020:162:11:32:35.240 | 708140864.872 | 708176024.424 | 35159.552 |     99.425 | 2020:162:01:16:54.750 | 263.202 | -34.680 |  17.959 |
| 2020:162:12:02:33.090 | 2020:163:02:31:47.143 | 708177822.274 | 708229976.327 | 52154.053 |    105.575 | 2020:162:11:32:46.002 |  81.316 | -69.631 | 183.054 |
| 2020:163:03:01:20.393 | 2020:163:07:14:17.569 | 708231749.577 | 708246926.753 | 15177.176 |     82.000 | 2020:163:02:31:56.881 | 263.203 | -34.679 |  17.959 |
| 2020:163:07:35:17.294 | 2020:163:12:38:13.620 | 708248186.478 | 708266362.804 | 18176.326 |     82.000 | 2020:163:07:14:28.332 | 251.746 | -45.863 | 334.981 |
| 2020:163:12:59:31.795 | 2020:163:15:49:11.071 | 708267640.979 | 708277820.255 | 10179.276 |     86.100 | 2020:163:12:38:24.383 | 272.949 | -48.161 |  26.940 |
| 2020:163:16:34:42.696 | 2020:163:17:27:46.346 | 708280551.880 | 708283735.530 |  3183.650 |     74.825 | 2020:163:15:49:21.834 | 236.167 |  -1.386 | 225.111 |
| 2020:163:17:44:49.297 | 2020:163:18:54:27.197 | 708284758.481 | 708288936.381 |  4177.900 |     80.975 | 2020:163:17:27:57.109 | 234.798 | -13.763 | 245.014 |
| 2020:163:19:31:33.497 | 2020:163:20:23:57.172 | 708291162.681 | 708294306.356 |  3143.675 |    114.800 | 2020:163:18:54:37.959 | 133.592 |  49.114 | 282.081 |
| 2020:163:21:01:08.597 | 2020:163:21:20:05.322 | 708296537.781 | 708297674.506 |  1136.725 |    121.975 | 2020:163:20:24:07.935 | 234.589 | -13.827 | 245.285 |
| 2020:163:22:10:05.497 | 2020:163:22:30:47.798 | 708300674.681 | 708301916.982 |  1242.300 |    118.900 | 2020:163:21:20:16.085 | 286.872 | -33.847 |  72.198 |
| 2020:163:22:57:14.498 | 2020:164:00:59:59.123 | 708303503.682 | 708310868.307 |  7364.625 |     94.300 | 2020:163:22:30:57.535 |   0.037 | -28.146 | 114.821 |
