|                 start |                  stop |        tstart |         tstop |    dur | obsid | start_3fapos | stop_3fapos |
| 2020:164:14:15:09.801 | 2020:164:14:15:42.601 | 708358578.985 | 708358611.785 | 32.800 | 22745 |         -715 |       -1060 |
| 2020:164:16:15:58.601 | 2020:164:16:16:31.401 | 708365827.785 | 708365860.585 | 32.800 | 22410 |        -1060 |        -418 |
| 2020:164:16:17:04.201 | 2020:164:16:17:37.001 | 708365893.385 | 708365926.185 | 32.800 | 22410 |         -418 |        -467 |
| 2020:165:23:55:38.608 | 2020:165:23:56:11.408 | 708479807.792 | 708479840.592 | 32.800 | 22982 |         -535 |        -418 |
| 2020:165:23:56:44.208 | 2020:165:23:57:17.008 | 708479873.392 | 708479906.192 | 32.800 | 22378 |         -418 |        -467 |
| 2020:172:03:00:29.041 | 2020:172:03:01:01.841 | 709009298.225 | 709009331.025 | 32.800 | 22320 |         -467 |        -535 |
| 2020:172:14:24:54.643 | 2020:172:14:25:27.443 | 709050363.827 | 709050396.627 | 32.800 | 22107 |         -418 |        -467 |
| 2020:173:12:27:50.648 | 2020:173:12:28:23.448 | 709129739.832 | 709129772.632 | 32.800 | 47118 |         -535 |        -418 |
| 2020:173:12:28:56.248 | 2020:173:12:29:29.048 | 709129805.432 | 709129838.232 | 32.800 | 22817 |         -418 |        -467 |
| 2020:177:17:40:13.070 | 2020:177:17:40:45.870 | 709494082.254 | 709494115.054 | 32.800 | 22318 |         -535 |        -418 |
| 2020:177:17:41:18.670 | 2020:177:17:41:51.470 | 709494147.854 | 709494180.654 | 32.800 | 21885 |         -418 |        -467 |
| 2020:180:19:34:13.886 | 2020:180:19:34:46.686 | 709760123.070 | 709760155.870 | 32.800 | 22933 |         -467 |        -535 |
| 2020:181:05:15:20.289 | 2020:181:05:15:53.089 | 709794989.473 | 709795022.273 | 32.800 | 23289 |         -418 |        -467 |
| 2020:183:08:56:01.900 | 2020:183:08:56:34.700 | 709981031.084 | 709981063.884 | 32.800 | 47096 |         -535 |        -418 |
| 2020:183:08:57:07.500 | 2020:183:08:57:40.300 | 709981096.684 | 709981129.484 | 32.800 | 23297 |         -418 |        -467 |
