|                 start |                  stop |        tstart |         tstop |     dur | obsid | start_4lposaro | stop_4lposaro | start_4hposaro | stop_4hposaro | grating | direction |
| 2020:164:16:09:43.067 | 2020:164:16:12:16.048 | 708365452.251 | 708365605.232 | 152.981 | 22410 |         77.588 |        77.588 |         77.963 |         5.963 |    HETG |      INSR |
| 2020:164:22:38:23.356 | 2020:164:22:40:55.825 | 708388772.540 | 708388925.009 | 152.469 | 23279 |         77.588 |        77.588 |          5.963 |        78.338 |    HETG |      RETR |
| 2020:165:23:56:23.837 | 2020:165:23:58:56.818 | 708479853.021 | 708480006.002 | 152.981 | 22378 |         77.588 |        77.588 |         77.963 |         5.963 |    HETG |      INSR |
| 2020:166:12:28:56.114 | 2020:166:12:31:29.096 | 708525005.298 | 708525158.280 | 152.981 | 47138 |         77.588 |        77.588 |          5.963 |        78.338 |    HETG |      RETR |
| 2020:167:16:05:15.508 | 2020:167:16:07:48.233 | 708624384.692 | 708624537.417 | 152.725 | 47134 |         77.588 |        77.588 |         77.963 |         5.963 |    HETG |      INSR |
| 2020:168:01:37:01.235 | 2020:168:01:39:33.960 | 708658690.419 | 708658843.144 | 152.725 | 47133 |         77.588 |        77.588 |          5.963 |        78.338 |    HETG |      RETR |
| 2020:173:12:25:38.551 | 2020:173:12:28:21.526 | 709129607.735 | 709129770.710 | 162.975 | 47118 |         77.588 |         7.088 |         77.963 |        77.963 |    LETG |      INSR |
| 2020:174:12:48:27.256 | 2020:174:12:50:59.981 | 709217376.440 | 709217529.165 | 152.725 | 47113 |          6.713 |        77.588 |         77.963 |        77.963 |    LETG |      RETR |
| 2020:175:01:46:25.759 | 2020:175:01:49:08.734 | 709264054.943 | 709264217.918 | 162.975 | 22818 |         77.213 |         7.088 |         77.963 |        77.963 |    LETG |      INSR |
| 2020:175:19:01:27.438 | 2020:175:19:04:00.163 | 709326156.622 | 709326309.347 | 152.725 | 22664 |          6.713 |        77.588 |         77.963 |        77.963 |    LETG |      RETR |
| 2020:176:03:29:47.852 | 2020:176:03:32:24.678 | 709356657.036 | 709356813.862 | 156.825 | 22819 |         77.588 |         7.088 |         77.963 |        77.963 |    LETG |      INSR |
| 2020:177:00:58:11.307 | 2020:177:01:00:44.032 | 709433960.491 | 709434113.216 | 152.725 | 47108 |          6.713 |        77.588 |         77.963 |        77.963 |    LETG |      RETR |
| 2020:182:11:03:17.948 | 2020:182:11:05:50.930 | 709902267.132 | 709902420.114 | 152.981 | 47100 |         77.213 |        77.213 |         77.963 |         5.963 |    HETG |      INSR |
| 2020:183:01:36:53.889 | 2020:183:01:39:26.614 | 709954683.073 | 709954835.798 | 152.725 | 47097 |         77.213 |        77.213 |          5.963 |        78.338 |    HETG |      RETR |
| 2020:183:08:53:46.728 | 2020:183:08:56:19.709 | 709980895.912 | 709981048.893 | 152.981 | 47096 |         77.213 |        77.213 |         77.963 |         5.963 |    HETG |      INSR |
| 2020:183:18:21:41.318 | 2020:183:18:24:14.043 | 710014970.502 | 710015123.227 | 152.725 | 47095 |         77.213 |        77.213 |          5.963 |        78.338 |    HETG |      RETR |
| 2020:184:00:48:39.619 | 2020:184:00:51:12.600 | 710038188.803 | 710038341.784 | 152.981 | 47094 |         77.213 |        77.213 |         77.963 |         5.963 |    HETG |      INSR |
| 2020:184:11:09:59.384 | 2020:184:11:12:31.853 | 710075468.568 | 710075621.037 | 152.469 | 47093 |         77.213 |        77.213 |          5.963 |        78.338 |    HETG |      RETR |
| 2020:185:02:38:43.000 | 2020:185:02:41:16.493 | 710131192.184 | 710131345.677 | 153.494 | 47089 |         77.213 |        77.213 |         78.338 |         5.963 |    HETG |      INSR |
| 2020:185:17:23:30.828 | 2020:185:17:26:03.809 | 710184280.012 | 710184432.993 | 152.981 | 47087 |         77.213 |        77.213 |          5.963 |        78.338 |    HETG |      RETR |
