| ifot_id |                 start |                  stop |        tstart |         tstop |        dur |       name | scs | load_name | comment |
|  767574 | 2020:160:00:02:58.159 | 2020:162:01:52:15.853 | 707961847.343 | 708141205.037 | 179357.694 | CL160:0004 | 130 |  JUN0820A |         |
|  767575 | 2020:160:00:02:58.159 | 2020:162:01:52:15.853 | 707961847.343 | 708141205.037 | 179357.694 | CL160:0004 | 133 |  JUN0820A |         |
|  767576 | 2020:162:03:10:00.000 | 2020:164:05:50:10.042 | 708145869.184 | 708328279.226 | 182410.042 | CL162:0304 | 128 |  JUN0820A |         |
|  767577 | 2020:162:03:10:00.000 | 2020:164:05:50:10.042 | 708145869.184 | 708328279.226 | 182410.042 | CL162:0304 | 131 |  JUN0820A |         |
|  767578 | 2020:164:11:05:00.000 | 2020:166:10:51:42.504 | 708347169.184 | 708519171.688 | 172002.504 | CL164:1104 | 129 |  JUN0820A |         |
|  767579 | 2020:164:11:05:00.000 | 2020:166:10:51:42.504 | 708347169.184 | 708519171.688 | 172002.504 | CL164:1104 | 132 |  JUN0820A |         |
|  768082 | 2020:166:10:49:00.000 | 2020:168:13:42:08.268 | 708519009.184 | 708702197.452 | 183188.268 | CL166:1003 | 130 |  JUN1520A |         |
|  768083 | 2020:166:10:49:00.000 | 2020:168:13:42:08.268 | 708519009.184 | 708702197.452 | 183188.268 | CL166:1003 | 133 |  JUN1520A |         |
|  768084 | 2020:168:21:20:00.000 | 2020:171:04:20:02.313 | 708729669.184 | 708927671.497 | 198002.313 | CL168:2103 | 128 |  JUN1520A |         |
|  768085 | 2020:168:21:20:00.000 | 2020:171:04:20:02.313 | 708729669.184 | 708927671.497 | 198002.313 | CL168:2103 | 131 |  JUN1520A |         |
|  768086 | 2020:171:10:00:00.000 | 2020:173:13:02:14.239 | 708948069.184 | 709131803.423 | 183734.239 | CL171:1003 | 129 |  JUN1520A |         |
|  768087 | 2020:171:10:00:00.000 | 2020:173:13:02:14.239 | 708948069.184 | 709131803.423 | 183734.239 | CL171:1003 | 132 |  JUN1520A |         |
|  768088 | 2020:173:20:05:00.000 | 2020:174:09:14:23.912 | 709157169.184 | 709204533.096 |  47363.912 | CL173:2003 | 130 |  JUN1520A |         |
|  768089 | 2020:173:20:05:00.000 | 2020:174:09:14:23.912 | 709157169.184 | 709204533.096 |  47363.912 | CL173:2003 | 133 |  JUN1520A |         |
|  768601 | 2020:174:09:12:00.000 | 2020:177:21:30:02.313 | 709204389.184 | 709507871.497 | 303482.313 | CL174:0901 | 128 |  JUN2220A |         |
|  768602 | 2020:174:09:12:00.000 | 2020:177:21:30:02.313 | 709204389.184 | 709507871.497 | 303482.313 | CL174:0901 | 131 |  JUN2220A |         |
|  768603 | 2020:178:00:03:22.086 | 2020:181:04:29:33.251 | 709517071.270 | 709792242.435 | 275171.165 | CL178:0001 | 129 |  JUN2220A |         |
|  768604 | 2020:178:00:03:22.086 | 2020:181:04:29:33.251 | 709517071.270 | 709792242.435 | 275171.165 | CL178:0001 | 132 |  JUN2220A |         |
|  769099 | 2020:181:04:26:33.251 | 2020:183:11:35:02.313 | 709792062.435 | 709990571.497 | 198509.062 | CL181:0402 | 130 |  JUN2920A |         |
|  769100 | 2020:181:04:26:33.251 | 2020:183:11:35:02.313 | 709792062.435 | 709990571.497 | 198509.062 | CL181:0402 | 133 |  JUN2920A |         |
|  769101 | 2020:183:16:58:23.983 | 2020:186:02:45:01.285 | 710009973.167 | 710217970.469 | 207997.302 | CL183:1602 | 128 |  JUN2920A |         |
|  769102 | 2020:183:16:58:23.983 | 2020:186:02:45:01.285 | 710009973.167 | 710217970.469 | 207997.302 | CL183:1602 | 131 |  JUN2920A |         |
