|                 start |                  stop |        tstart |         tstop |      dur | obsid |       prev_manvr_stop |       prev_npnt_start |            nman_start |           manvr_start |            manvr_stop |            npnt_start |             acq_start |           guide_start |          kalman_start |             npnt_stop |       next_nman_start |      next_manvr_start | n_dwell | n_acq | n_guide | n_kalman | anomalous |   template | start_ra | start_dec | start_roll | stop_ra | stop_dec | stop_roll |   angle | one_shot | one_shot_roll | one_shot_pitch | one_shot_yaw |
| 2020:162:01:16:54.750 | 2020:162:01:44:55.750 | 708139083.934 | 708140764.934 | 1681.000 | 21340 | 2020:161:13:15:45.910 | 2020:161:13:16:01.285 | 2020:162:01:16:46.038 | 2020:162:01:16:55.263 | 2020:162:01:44:56.263 | 2020:162:01:45:12.663 | 2020:162:01:45:12.663 | 2020:162:01:45:58.788 | 2020:162:01:46:35.688 | 2020:162:11:32:36.265 | 2020:162:11:32:36.265 | 2020:162:11:32:46.515 |       1 |     1 |       1 |        1 |     False |     normal |   81.318 |   -69.630 |    183.056 | 263.202 |  -34.680 |    17.959 |  76.571 |   17.310 |         0.322 |         10.170 |       14.008 |
| 2020:162:11:32:46.002 | 2020:162:12:00:47.002 | 708176035.186 | 708177716.186 | 1681.000 | 21887 | 2020:162:01:44:56.263 | 2020:162:01:45:12.663 | 2020:162:11:32:36.265 | 2020:162:11:32:46.515 | 2020:162:12:00:47.515 | 2020:162:12:01:02.890 | 2020:162:12:01:02.890 | 2020:162:12:01:47.990 | 2020:162:12:02:33.090 | 2020:163:02:31:48.168 | 2020:163:02:31:48.168 | 2020:163:02:31:57.393 |       1 |     1 |       1 |        1 |     False |     normal |  263.202 |   -34.680 |     17.959 |  81.316 |  -69.631 |   183.054 |  76.571 |   22.278 |         0.787 |          2.659 |       22.118 |
| 2020:163:02:31:56.881 | 2020:163:02:59:57.881 | 708229986.065 | 708231667.065 | 1681.000 | 23276 | 2020:162:12:00:47.515 | 2020:162:12:01:02.890 | 2020:163:02:31:48.168 | 2020:163:02:31:57.393 | 2020:163:02:59:58.393 | 2020:163:03:00:13.768 | 2020:163:03:00:13.768 | 2020:163:03:00:59.893 | 2020:163:03:01:20.393 | 2020:163:07:14:18.594 | 2020:163:07:14:18.594 | 2020:163:07:14:28.844 |       1 |     1 |       1 |        1 |     False |     normal |   81.316 |   -69.631 |    183.054 | 263.203 |  -34.679 |    17.959 |  76.571 |    8.206 |         0.401 |          8.064 |        1.516 |
| 2020:163:07:14:28.332 | 2020:163:07:33:54.782 | 708246937.516 | 708248103.966 | 1166.450 | 22986 | 2020:163:02:59:58.393 | 2020:163:03:00:13.768 | 2020:163:07:14:18.594 | 2020:163:07:14:28.844 | 2020:163:07:33:55.294 | 2020:163:07:34:10.669 | 2020:163:07:34:10.669 | 2020:163:07:35:00.894 | 2020:163:07:35:17.294 | 2020:163:12:38:14.645 | 2020:163:12:38:14.645 | 2020:163:12:38:24.895 |       1 |     1 |       1 |        1 |     False |     normal |  263.203 |   -34.679 |     17.959 | 251.746 |  -45.863 |   334.981 |  38.158 |    8.639 |         0.458 |          0.896 |       -8.593 |
| 2020:163:12:38:24.383 | 2020:163:12:58:05.183 | 708266373.567 | 708267554.367 | 1180.800 | 23275 | 2020:163:07:33:55.294 | 2020:163:07:34:10.669 | 2020:163:12:38:14.645 | 2020:163:12:38:24.895 | 2020:163:12:58:05.695 | 2020:163:12:58:21.070 | 2020:163:12:58:21.070 | 2020:163:12:59:11.295 | 2020:163:12:59:31.795 | 2020:163:15:49:12.096 | 2020:163:15:49:12.096 | 2020:163:15:49:22.346 |       1 |     1 |       1 |        1 |     False |     normal |  251.746 |   -45.863 |    334.981 | 272.949 |  -48.161 |    26.940 |  39.090 |   10.949 |         0.564 |        -10.376 |        3.497 |
| 2020:163:15:49:21.834 | 2020:163:16:33:27.359 | 708277831.018 | 708280476.543 | 2645.525 | 47150 | 2020:163:12:58:05.695 | 2020:163:12:58:21.070 | 2020:163:15:49:12.096 | 2020:163:15:49:22.346 | 2020:163:16:33:27.871 | 2020:163:16:33:43.246 | 2020:163:16:33:43.246 | 2020:163:16:34:26.296 | 2020:163:16:34:42.696 | 2020:163:17:27:47.371 | 2020:163:17:27:47.371 | 2020:163:17:27:57.621 |       1 |     1 |       1 |        1 |     False |     normal |  272.949 |   -48.161 |     26.940 | 236.167 |   -1.386 |   225.111 | 148.901 |    4.403 |         4.176 |          2.048 |        3.898 |
| 2020:163:17:27:57.109 | 2020:163:17:43:27.809 | 708283746.293 | 708284676.993 |  930.700 | 47149 | 2020:163:16:33:27.871 | 2020:163:16:33:43.246 | 2020:163:17:27:47.371 | 2020:163:17:27:57.621 | 2020:163:17:43:28.322 | 2020:163:17:43:43.697 | 2020:163:17:43:43.697 | 2020:163:17:44:28.797 | 2020:163:17:44:49.297 | 2020:163:18:54:28.222 | 2020:163:18:54:28.222 | 2020:163:18:54:38.472 |       1 |     1 |       1 |        1 |     False |     normal |  236.167 |    -1.386 |    225.111 | 234.798 |  -13.763 |   245.014 |  23.597 |    3.076 |        -2.534 |         -2.857 |        1.141 |
| 2020:163:18:54:37.959 | 2020:163:19:29:38.184 | 708288947.143 | 708291047.368 | 2100.225 | 47148 | 2020:163:17:43:28.322 | 2020:163:17:43:43.697 | 2020:163:18:54:28.222 | 2020:163:18:54:38.472 | 2020:163:19:29:38.697 | 2020:163:19:29:54.072 | 2020:163:19:29:54.072 | 2020:163:19:30:40.197 | 2020:163:19:31:33.497 | 2020:163:20:23:58.197 | 2020:163:20:23:58.197 | 2020:163:20:24:08.447 |       1 |     1 |       1 |        1 |     False |     normal |  234.798 |   -13.763 |    245.014 | 133.592 |   49.114 |   282.081 | 107.968 |   28.213 |         3.628 |         27.076 |       -7.928 |
| 2020:163:20:24:07.935 | 2020:163:20:59:06.110 | 708294317.119 | 708296415.294 | 2098.175 | 47147 | 2020:163:19:29:38.697 | 2020:163:19:29:54.072 | 2020:163:20:23:58.197 | 2020:163:20:24:08.447 | 2020:163:20:59:06.622 | 2020:163:20:59:23.022 | 2020:163:20:59:23.022 | 2020:163:21:00:07.097 | 2020:163:21:01:08.597 | 2020:163:21:20:06.347 | 2020:163:21:20:06.347 | 2020:163:21:20:16.597 |       1 |     1 |       1 |        1 |     False |     normal |  133.592 |    49.114 |    282.081 | 234.589 |  -13.827 |   245.285 | 107.883 |   29.429 |        -1.571 |        -27.512 |      -10.448 |
| 2020:163:21:20:16.085 | 2020:163:22:08:06.085 | 708297685.269 | 708300555.269 | 2870.000 | 47146 | 2020:163:20:59:06.622 | 2020:163:20:59:23.022 | 2020:163:21:20:06.347 | 2020:163:21:20:16.597 | 2020:163:22:08:06.597 | 2020:163:22:08:21.972 | 2020:163:22:08:21.972 | 2020:163:22:09:08.097 | 2020:163:22:10:05.497 | 2020:163:22:30:48.823 | 2020:163:22:30:48.823 | 2020:163:22:30:58.048 |       1 |     1 |       1 |        1 |     False |     normal |  234.589 |   -13.827 |    245.285 | 286.872 |  -33.847 |    72.198 | 165.703 |   29.430 |        -1.212 |        -14.754 |       25.464 |
