|                 start |                  stop |        tstart |         tstop |       dur | obsid |
| 2020:161:12:55:46.660 | 2020:162:01:19:43.363 | 708094615.844 | 708139252.547 | 44636.703 | 21884 |
| 2020:162:01:19:43.363 | 2020:162:11:35:34.615 | 708139252.547 | 708176203.799 | 36951.252 | 21340 |
| 2020:162:11:35:34.615 | 2020:163:02:34:46.518 | 708176203.799 | 708230155.702 | 53951.903 | 21887 |
| 2020:163:02:34:46.518 | 2020:163:07:17:15.919 | 708230155.702 | 708247105.103 | 16949.401 | 23276 |
| 2020:163:07:17:15.919 | 2020:163:12:41:14.020 | 708247105.103 | 708266543.204 | 19438.101 | 22986 |
| 2020:163:12:41:14.020 | 2020:163:15:52:11.471 | 708266543.204 | 708278000.655 | 11457.451 | 23275 |
| 2020:163:15:52:11.471 | 2020:163:17:27:45.321 | 708278000.655 | 708283734.505 |  5733.850 | 47150 |
| 2020:163:17:27:45.321 | 2020:163:18:54:26.172 | 708283734.505 | 708288935.356 |  5200.850 | 47149 |
| 2020:163:18:54:26.172 | 2020:163:20:23:57.172 | 708288935.356 | 708294306.356 |  5371.000 | 47148 |
| 2020:163:20:23:57.172 | 2020:163:21:20:05.322 | 708294306.356 | 708297674.506 |  3368.150 | 47147 |
| 2020:163:21:20:05.322 | 2020:163:22:30:46.773 | 708297674.506 | 708301915.957 |  4241.450 | 47146 |
| 2020:163:22:30:46.773 | 2020:164:00:59:59.123 | 708301915.957 | 708310868.307 |  8952.351 | 47145 |
| 2020:164:00:59:59.123 | 2020:164:02:23:21.123 | 708310868.307 | 708315870.307 |  5002.000 | 47144 |
| 2020:164:02:23:21.123 | 2020:164:04:26:49.824 | 708315870.307 | 708323279.008 |  7408.700 | 47143 |
| 2020:164:04:26:49.824 | 2020:164:13:14:05.426 | 708323279.008 | 708354914.610 | 31635.602 | 22428 |
| 2020:164:13:14:05.426 | 2020:164:14:11:37.626 | 708354914.610 | 708358366.810 |  3452.200 | 22744 |
| 2020:164:14:11:37.626 | 2020:164:14:53:32.976 | 708358366.810 | 708360882.160 |  2515.350 | 22745 |
| 2020:164:14:53:32.976 | 2020:164:15:18:43.826 | 708360882.160 | 708362393.010 |  1510.850 | 22746 |
| 2020:164:15:18:43.826 | 2020:164:15:43:52.626 | 708362393.010 | 708363901.810 |  1508.800 | 22747 |
| 2020:164:15:43:52.626 | 2020:164:16:09:05.526 | 708363901.810 | 708365414.710 |  1512.900 | 22748 |
| 2020:164:16:09:05.526 | 2020:164:22:37:46.328 | 708365414.710 | 708388735.512 | 23320.801 | 22410 |
| 2020:164:22:37:46.328 | 2020:165:07:27:54.130 | 708388735.512 | 708420543.314 | 31807.802 | 23279 |
| 2020:165:07:27:54.130 | 2020:165:08:24:41.230 | 708420543.314 | 708423950.414 |  3407.100 | 47142 |
| 2020:165:08:24:41.230 | 2020:165:13:43:09.281 | 708423950.414 | 708443058.465 | 19108.051 | 23278 |
| 2020:165:13:43:09.281 | 2020:165:18:41:07.332 | 708443058.465 | 708460936.516 | 17878.051 | 23186 |
| 2020:165:18:41:07.332 | 2020:165:23:55:45.783 | 708460936.516 | 708479814.967 | 18878.451 | 22982 |
| 2020:165:23:55:45.783 | 2020:166:07:01:20.585 | 708479814.967 | 708505349.769 | 25534.802 | 22378 |
| 2020:166:07:01:20.585 | 2020:166:08:35:52.935 | 708505349.769 | 708511022.119 |  5672.350 | 47141 |
| 2020:166:08:35:52.935 | 2020:166:10:54:58.486 | 708511022.119 | 708519367.670 |  8345.551 | 47140 |
| 2020:166:10:54:58.486 | 2020:166:12:28:19.086 | 708519367.670 | 708524968.270 |  5600.600 | 47139 |
| 2020:166:12:28:19.086 | 2020:166:14:22:32.237 | 708524968.270 | 708531821.421 |  6853.150 | 47138 |
| 2020:166:14:22:32.237 | 2020:166:16:13:59.337 | 708531821.421 | 708538508.521 |  6687.100 | 47137 |
| 2020:166:16:13:59.337 | 2020:166:17:39:42.787 | 708538508.521 | 708543651.971 |  5143.450 | 47136 |
| 2020:166:17:39:42.787 | 2020:166:19:30:43.238 | 708543651.971 | 708550312.422 |  6660.450 | 47135 |
| 2020:166:19:30:43.238 | 2020:167:09:01:19.491 | 708550312.422 | 708598948.675 | 48636.253 | 21383 |
| 2020:167:09:01:19.491 | 2020:167:15:25:21.492 | 708598948.675 | 708621990.676 | 23042.001 | 22457 |
| 2020:167:15:25:21.492 | 2020:167:16:07:37.342 | 708621990.676 | 708624526.526 |  2535.850 | 47134 |
| 2020:167:16:07:37.342 | 2020:168:00:58:13.844 | 708624526.526 | 708656363.028 | 31836.502 | 21224 |
| 2020:168:00:58:13.844 | 2020:168:01:39:24.094 | 708656363.028 | 708658833.278 |  2470.250 | 47133 |
| 2020:168:01:39:24.094 | 2020:168:12:30:14.547 | 708658833.278 | 708697883.731 | 39050.452 | 23282 |
| 2020:168:12:30:14.547 | 2020:168:13:06:56.247 | 708697883.731 | 708700085.431 |  2201.700 | 47132 |
| 2020:168:13:06:56.247 | 2020:168:22:13:30.099 | 708700085.431 | 708732879.283 | 32793.852 | 22567 |
| 2020:168:22:13:30.099 | 2020:168:22:48:00.599 | 708732879.283 | 708734949.783 |  2070.500 | 47131 |
| 2020:168:22:48:00.599 | 2020:168:23:59:43.549 | 708734949.783 | 708739252.733 |  4302.950 | 47130 |
| 2020:168:23:59:43.549 | 2020:169:03:30:58.700 | 708739252.733 | 708751927.884 | 12675.151 | 47129 |
| 2020:169:03:30:58.700 | 2020:169:04:49:58.300 | 708751927.884 | 708756667.484 |  4739.600 | 47128 |
| 2020:169:04:49:58.300 | 2020:169:09:44:37.501 | 708756667.484 | 708774346.685 | 17679.201 | 47127 |
| 2020:169:09:44:37.501 | 2020:169:11:20:07.252 | 708774346.685 | 708780076.436 |  5729.750 | 47126 |
| 2020:169:11:20:07.252 | 2020:169:23:35:37.604 | 708780076.436 | 708824206.788 | 44130.353 | 22459 |
| 2020:169:23:35:37.604 | 2020:170:01:37:58.655 | 708824206.788 | 708831547.839 |  7341.050 | 23132 |
| 2020:170:01:37:58.655 | 2020:170:07:06:37.606 | 708831547.839 | 708851266.790 | 19718.951 | 23284 |
| 2020:170:07:06:37.606 | 2020:170:07:51:37.456 | 708851266.790 | 708853966.640 |  2699.850 | 47125 |
| 2020:170:07:51:37.456 | 2020:170:22:16:59.859 | 708853966.640 | 708905889.043 | 51922.403 | 23283 |
| 2020:170:22:16:59.859 | 2020:171:00:09:44.860 | 708905889.043 | 708912654.044 |  6765.000 | 22918 |
| 2020:171:00:09:44.860 | 2020:171:14:20:56.513 | 708912654.044 | 708963725.697 | 51071.653 | 21367 |
| 2020:171:14:20:56.513 | 2020:171:17:49:13.314 | 708963725.697 | 708976222.498 | 12496.801 | 47124 |
| 2020:171:17:49:13.314 | 2020:171:18:46:39.364 | 708976222.498 | 708979668.548 |  3446.050 | 47123 |
| 2020:171:18:46:39.364 | 2020:172:01:21:06.615 | 708979668.548 | 709003335.799 | 23667.251 | 47122 |
| 2020:172:01:21:06.615 | 2020:172:02:53:35.966 | 709003335.799 | 709008885.150 |  5549.350 | 47121 |
| 2020:172:02:53:35.966 | 2020:172:13:52:11.768 | 709008885.150 | 709048400.952 | 39515.802 | 22320 |
| 2020:172:13:52:11.768 | 2020:172:14:24:06.468 | 709048400.952 | 709050315.652 |  1914.700 | 47120 |
| 2020:172:14:24:06.468 | 2020:173:01:48:52.571 | 709050315.652 | 709091401.755 | 41086.103 | 22107 |
| 2020:173:01:48:52.571 | 2020:173:02:43:05.921 | 709091401.755 | 709094655.105 |  3253.350 | 47119 |
| 2020:173:02:43:05.921 | 2020:173:11:48:50.573 | 709094655.105 | 709127399.757 | 32744.652 | 23281 |
| 2020:173:11:48:50.573 | 2020:173:12:27:59.873 | 709127399.757 | 709129749.057 |  2349.300 | 47118 |
| 2020:173:12:27:59.873 | 2020:174:05:47:10.627 | 709129749.057 | 709192099.811 | 62350.754 | 22817 |
| 2020:174:05:47:10.627 | 2020:174:07:12:27.427 | 709192099.811 | 709197216.611 |  5116.800 | 47117 |
| 2020:174:07:12:27.427 | 2020:174:09:17:59.128 | 709197216.611 | 709204748.312 |  7531.700 | 47116 |
| 2020:174:09:17:59.128 | 2020:174:10:02:44.628 | 709204748.312 | 709207433.812 |  2685.500 | 47115 |
| 2020:174:10:02:44.628 | 2020:174:12:47:50.228 | 709207433.812 | 709217339.412 |  9905.601 | 47114 |
| 2020:174:12:47:50.228 | 2020:174:14:37:34.829 | 709217339.412 | 709223924.013 |  6584.600 | 47113 |
| 2020:174:14:37:34.829 | 2020:174:16:18:40.779 | 709223924.013 | 709229989.963 |  6065.950 | 47112 |
| 2020:174:16:18:40.779 | 2020:174:17:50:31.179 | 709229989.963 | 709235500.363 |  5510.400 | 47111 |
| 2020:174:17:50:31.179 | 2020:175:01:45:48.731 | 709235500.363 | 709264017.915 | 28517.552 | 21385 |
| 2020:175:01:45:48.731 | 2020:175:19:00:49.385 | 709264017.915 | 709326118.569 | 62100.654 | 22818 |
| 2020:175:19:00:49.385 | 2020:175:20:59:12.635 | 709326118.569 | 709333221.819 |  7103.250 | 22664 |
| 2020:175:20:59:12.635 | 2020:176:03:29:11.337 | 709333221.819 | 709356620.521 | 23398.701 | 23269 |
| 2020:176:03:29:11.337 | 2020:176:20:44:22.241 | 709356620.521 | 709418731.425 | 62110.904 | 22819 |
| 2020:176:20:44:22.241 | 2020:176:23:00:23.291 | 709418731.425 | 709426892.475 |  8161.050 | 47110 |
| 2020:176:23:00:23.291 | 2020:177:00:57:34.792 | 709426892.475 | 709433923.976 |  7031.500 | 47109 |
| 2020:177:00:57:34.792 | 2020:177:07:40:16.093 | 709433923.976 | 709458085.277 | 24161.301 | 47108 |
| 2020:177:07:40:16.093 | 2020:177:09:45:04.744 | 709458085.277 | 709465573.928 |  7488.650 | 47107 |
| 2020:177:09:45:04.744 | 2020:177:17:40:22.295 | 709465573.928 | 709494091.479 | 28517.552 | 22318 |
| 2020:177:17:40:22.295 | 2020:178:00:09:21.547 | 709494091.479 | 709517430.731 | 23339.251 | 21885 |
| 2020:178:00:09:21.547 | 2020:178:10:23:20.049 | 709517430.731 | 709554269.233 | 36838.502 | 23287 |
| 2020:178:10:23:20.049 | 2020:178:23:33:18.102 | 709554269.233 | 709601667.286 | 47398.053 | 22693 |
| 2020:178:23:33:18.102 | 2020:179:08:10:16.654 | 709601667.286 | 709632685.838 | 31018.552 | 23288 |
| 2020:179:08:10:16.654 | 2020:179:12:51:05.605 | 709632685.838 | 709649534.789 | 16848.951 | 23286 |
| 2020:179:12:51:05.605 | 2020:179:16:59:31.156 | 709649534.789 | 709664440.340 | 14905.551 | 47106 |
| 2020:179:16:59:31.156 | 2020:179:23:20:34.807 | 709664440.340 | 709687303.991 | 22863.651 | 47105 |
| 2020:179:23:20:34.807 | 2020:180:01:21:44.107 | 709687303.991 | 709694573.291 |  7269.300 | 47104 |
| 2020:180:01:21:44.107 | 2020:180:11:57:18.210 | 709694573.291 | 709732707.394 | 38134.102 | 22421 |
| 2020:180:11:57:18.210 | 2020:180:19:34:27.211 | 709732707.394 | 709760136.395 | 27429.002 | 22933 |
| 2020:180:19:34:27.211 | 2020:181:04:32:32.663 | 709760136.395 | 709792421.847 | 32285.452 | 21642 |
| 2020:181:04:32:32.663 | 2020:181:05:14:32.114 | 709792421.847 | 709794941.298 |  2519.450 | 47103 |
| 2020:181:05:14:32.114 | 2020:181:18:49:10.267 | 709794941.298 | 709843819.451 | 48878.153 | 23289 |
| 2020:181:18:49:10.267 | 2020:182:00:52:13.568 | 709843819.451 | 709865602.752 | 21783.301 | 23285 |
| 2020:182:00:52:13.568 | 2020:182:04:12:10.169 | 709865602.752 | 709877599.353 | 11996.601 | 23293 |
| 2020:182:04:12:10.169 | 2020:182:05:22:12.669 | 709877599.353 | 709881801.853 |  4202.500 | 47102 |
| 2020:182:05:22:12.669 | 2020:182:11:02:40.920 | 709881801.853 | 709902230.104 | 20428.251 | 47101 |
| 2020:182:11:02:40.920 | 2020:182:12:15:49.970 | 709902230.104 | 709906619.154 |  4389.050 | 47100 |
| 2020:182:12:15:49.970 | 2020:182:14:45:26.921 | 709906619.154 | 709915596.105 |  8976.951 | 47099 |
| 2020:182:14:45:26.921 | 2020:182:16:17:17.321 | 709915596.105 | 709921106.505 |  5510.400 | 47098 |
| 2020:182:16:17:17.321 | 2020:183:01:04:04.223 | 709921106.505 | 709952713.407 | 31606.902 | 23292 |
| 2020:183:01:04:04.223 | 2020:183:01:39:15.723 | 709952713.407 | 709954824.907 |  2111.500 | 47097 |
| 2020:183:01:39:15.723 | 2020:183:08:03:05.425 | 709954824.907 | 709977854.609 | 23029.701 | 21680 |
| 2020:183:08:03:05.425 | 2020:183:08:56:09.075 | 709977854.609 | 709981038.259 |  3183.650 | 47096 |
| 2020:183:08:56:09.075 | 2020:183:17:48:50.627 | 709981038.259 | 710012999.811 | 31961.552 | 23297 |
| 2020:183:17:48:50.627 | 2020:183:18:24:04.177 | 710012999.811 | 710015113.361 |  2113.550 | 47095 |
| 2020:183:18:24:04.177 | 2020:184:00:48:02.078 | 710015113.361 | 710038151.262 | 23037.901 | 23294 |
