|                 start |                  stop |        tstart |         tstop |        dur | orbit_num |               perigee |                apogee |     t_perigee |         start_radzone |          stop_radzone | dt_start_radzone | dt_stop_radzone |
| 2020:161:11:35:14.352 | 2020:164:03:02:23.333 | 708089783.536 | 708318212.517 | 228428.984 |      2879 | 2020:163:20:55:08.217 | 2020:162:13:11:34.028 | 708296177.401 | 2020:163:15:54:49.042 | 2020:164:03:49:22.058 |       -18019.176 |       24853.842 |
| 2020:164:03:02:23.333 | 2020:166:18:30:03.705 | 708318212.517 | 708546672.889 | 228460.375 |      2880 | 2020:166:12:22:50.122 | 2020:165:04:39:12.904 | 708524639.306 | 2020:166:07:03:59.504 | 2020:166:19:19:45.967 |       -19130.617 |       25015.846 |
| 2020:166:18:30:03.705 | 2020:169:09:57:51.581 | 708546672.889 | 708775140.765 | 228467.875 |      2881 | 2020:169:03:50:39.211 | 2020:167:20:07:04.708 | 708753108.395 | 2020:168:22:16:07.511 | 2020:169:10:39:11.119 |       -20071.699 |       24511.908 |
| 2020:169:09:57:51.581 | 2020:172:01:25:18.519 | 708775140.765 | 709003587.703 | 228446.938 |      2882 | 2020:171:19:18:56.877 | 2020:170:11:35:25.594 | 708981606.061 | 2020:171:14:23:35.437 | 2020:172:02:04:39.044 |       -17721.439 |       24342.166 |
| 2020:172:01:25:18.519 | 2020:174:16:52:22.016 | 709003587.703 | 709232011.200 | 228423.500 |      2883 | 2020:174:10:47:56.306 | 2020:173:03:04:40.840 | 709210145.490 | 2020:174:05:49:44.912 | 2020:174:17:31:49.176 |       -17891.395 |       24232.869 |
| 2020:174:16:52:22.016 | 2020:177:08:19:37.243 | 709232011.200 | 709460446.427 | 228435.234 |      2884 | 2020:177:02:17:22.142 | 2020:175:18:33:28.870 | 709438711.326 | 2020:176:20:47:05.138 | 2020:177:08:26:23.592 |       -19817.004 |       22141.449 |
| 2020:177:08:19:37.243 | 2020:179:23:47:42.057 | 709460446.427 | 709688931.241 | 228484.812 |      2885 | 2020:179:17:46:28.130 | 2020:178:10:02:39.350 | 709667257.314 | 2020:179:12:53:44.725 | 2020:180:00:21:03.179 |       -17563.404 |       23675.049 |
| 2020:179:23:47:42.057 | 2020:182:15:16:10.826 | 709688931.241 | 709917440.010 | 228508.766 |      2886 | 2020:182:09:14:31.097 | 2020:181:01:30:29.215 | 709895740.281 | 2020:182:04:14:48.041 | 2020:182:15:26:47.041 |       -17983.057 |       22335.943 |
| 2020:182:15:16:10.826 | 2020:185:06:43:45.212 | 709917440.010 | 710145894.396 | 228454.391 |      2887 | 2020:185:00:41:50.517 | 2020:183:16:58:23.627 | 710124179.701 | 2020:184:19:20:57.636 | 2020:185:07:02:56.636 |       -19252.881 |       22866.119 |
| 2020:185:06:43:45.212 | 2020:187:22:10:15.683 | 710145894.396 | 710374284.867 | 228390.469 |      2888 | 2020:187:16:09:39.341 | 2020:186:08:26:27.399 | 710352648.525 | 2020:187:11:16:54.488 | 2020:187:22:29:20.232 |       -17564.854 |       22780.891 |
