| ifot_id |                 start |                  stop |        tstart |         tstop |      dur |             oc |              cc |          got | station |         est_datetime | sched_support_time |       activity |  bot |  eot | data_rate | config | lga | power | rxa_rsl | rxb_rsl | err_log | cmd_count |
|  767702 | 2020:162:02:10:00.000 | 2020:162:04:15:00.000 | 708142269.184 | 708149769.184 | 7500.000 |    Craig Mahon |       James Jay | Ed Arsenault |  DSS-24 | 06/09/20 10:10:00 PM |      162/0210-0415 | SHORT TKG PASS |  310 |  400 | 1,024,000 |   N064 |   B |  HIGH |    -101 |     -86 |       0 |     10968 |
|  767703 | 2020:162:09:05:00.000 | 2020:162:11:20:00.000 | 708167169.184 | 708175269.184 | 8100.000 |   William Rios |   Michael Leger |    Adam Frye |  DSS-24 | 06/10/20 05:05:00 AM |      162/0905-1120 |       TKG PASS | 1005 | 1105 | 1,024,000 |   N064 |   B |  HIGH |    -106 |     -83 |       0 |     11011 |
|  767704 | 2020:162:18:55:00.000 | 2020:162:21:10:00.000 | 708202569.184 | 708210669.184 | 8100.000 |    Craig Mahon |       James Jay | Ed Arsenault |  DSS-54 | 06/10/20 02:55:00 PM |      162/1855-2110 |       TKG PASS | 1955 | 2055 | 1,024,000 |   N064 |   B |  HIGH |     -91 |     -86 |       0 |     11054 |
|  767705 | 2020:163:02:20:00.000 | 2020:163:04:15:00.000 | 708229269.184 | 708236169.184 | 6900.000 |    Craig Mahon |       James Jay | Ed Arsenault |  DSS-24 | 06/10/20 10:20:00 PM |      163/0220-0415 | SHORT TKG PASS |  320 |  400 | 1,024,000 |   N064 |   B |  HIGH |    -102 |     -89 |       0 |     11097 |
|  767706 | 2020:163:09:00:00.000 | 2020:163:11:00:00.000 | 708253269.184 | 708260469.184 | 7200.000 |   William Rios |   Michael Leger | Ed Arsenault |  DSS-26 | 06/11/20 05:00:00 AM |      163/0900-1100 | SHORT TKG PASS | 1000 | 1045 | 1,024,000 |   N064 |   B |  HIGH |    -129 |     -93 |       0 |     14184 |
|  767707 | 2020:163:15:05:00.000 | 2020:163:17:20:00.000 | 708275169.184 | 708283269.184 | 8100.000 |   William Rios |   Michael Leger |    Adam Frye |  DSS-54 | 06/11/20 11:05:00 AM |      163/1505-1720 |       TKG PASS | 1605 | 1705 | 1,024,000 |   N064 |   B |  HIGH |     -96 |     -73 |       0 |     14227 |
|  767708 | 2020:163:23:00:00.000 | 2020:164:01:15:00.000 | 708303669.184 | 708311769.184 | 8100.000 |    Craig Mahon |       James Jay |   Ken Hudson |  DSS-54 | 06/11/20 07:00:00 PM |      163/2300-0115 |       TKG PASS |    0 |  100 | 1,024,000 |   N064 |   B |  HIGH |    -108 |     -71 |       0 |     14307 |
|  767709 | 2020:164:10:05:00.000 | 2020:164:12:20:00.000 | 708343569.184 | 708351669.184 | 8100.000 | Jay Wellington | Frank Schackart |    Adam Frye |  DSS-24 | 06/12/20 06:05:00 AM |      164/1005-1220 |       TKG PASS | 1105 | 1205 | 1,024,000 |   N064 |   B |  HIGH |    -119 |     -83 |       0 |     14359 |
|  767710 | 2020:164:18:45:00.000 | 2020:164:20:30:00.000 | 708374769.184 | 708381069.184 | 6300.000 |    Craig Mahon |       James Jay |   Ken Hudson |  DSS-54 | 06/12/20 02:45:00 PM |      164/1845-2030 |  SHORT TKG N/R | 1930 | 2015 | 1,024,000 |   N056 |   B |  HIGH |    -107 |     -82 |       3 |     17868 |
|  767711 | 2020:165:01:10:00.000 | 2020:165:03:25:00.000 | 708397869.184 | 708405969.184 | 8100.000 |    Craig Mahon |       James Jay |   Ken Hudson |  DSS-65 | 06/12/20 09:10:00 PM |      165/0110-0325 |       TKG PASS |  210 |  310 | 1,024,000 |   N064 |   B |  HIGH |    -130 |     -95 |       0 |     17917 |
|  767712 | 2020:165:10:15:00.000 | 2020:165:12:30:00.000 | 708430569.184 | 708438669.184 | 8100.000 | Jay Wellington | Frank Schackart |    Adam Frye |  DSS-24 | 06/13/20 06:15:00 AM |      165/1015-1230 |       TKG PASS | 1115 | 1215 | 1,024,000 |   N064 |   B |  HIGH |    -110 |     -84 |       0 |     17960 |
