|                 start |                  stop |        tstart |         tstop |     dur | obsid | start_3tscpos | stop_3tscpos | start_det | stop_det | max_pwm |
| 2020:162:01:17:24.988 | 2020:162:01:17:57.788 | 708139114.172 | 708139146.972 |  32.800 | 21884 |         75623 |        91743 |    ACIS-S |   ACIS-I |       9 |
| 2020:162:11:33:30.590 | 2020:162:11:34:03.390 | 708176079.774 | 708176112.574 |  32.800 | 21340 |         91743 |        75624 |    ACIS-I |   ACIS-S |      10 |
| 2020:163:02:32:46.593 | 2020:163:02:33:19.393 | 708230035.777 | 708230068.577 |  32.800 | 21887 |         75624 |        91743 |    ACIS-S |   ACIS-I |       9 |
| 2020:163:12:39:01.795 | 2020:163:12:39:34.595 | 708266410.979 | 708266443.779 |  32.800 | 22986 |         92903 |        75624 |    ACIS-I |   ACIS-S |      10 |
| 2020:163:15:50:21.796 | 2020:163:15:54:11.396 | 708277890.980 | 708278120.580 | 229.600 | 23275 |         75624 |       -99616 |    ACIS-S |    HRC-S |      10 |
| 2020:164:04:27:29.799 | 2020:164:04:31:52.199 | 708323318.983 | 708323581.383 | 262.400 | 22428 |        -99616 |        78647 |     HRC-S |   ACIS-S |       9 |
| 2020:164:13:11:45.001 | 2020:164:13:15:01.801 | 708354774.185 | 708354970.985 | 196.800 | 22428 |         78647 |       -50504 |    ACIS-S |    HRC-I |       9 |
| 2020:164:14:12:25.801 | 2020:164:14:14:04.201 | 708358414.985 | 708358513.385 |  98.400 | 22745 |        -50504 |       -99616 |     HRC-I |    HRC-S |       5 |
| 2020:164:16:09:57.801 | 2020:164:16:14:20.201 | 708365466.985 | 708365729.385 | 262.400 | 22410 |        -99616 |        75623 |     HRC-S |   ACIS-S |       9 |
| 2020:164:22:35:54.603 | 2020:164:22:36:27.403 | 708388623.787 | 708388656.587 |  32.800 | 22410 |         75623 |        92903 |    ACIS-S |   ACIS-I |       5 |
| 2020:165:08:22:29.005 | 2020:165:08:23:01.805 | 708423818.189 | 708423850.989 |  32.800 | 47142 |         92903 |        78648 |    ACIS-I |   ACIS-S |      10 |
| 2020:165:18:38:34.607 | 2020:165:18:39:07.407 | 708460783.791 | 708460816.591 |  32.800 | 23186 |         75624 |        92903 |    ACIS-S |   ACIS-I |       9 |
| 2020:165:23:54:00.208 | 2020:165:23:54:33.008 | 708479709.392 | 708479742.192 |  32.800 | 22982 |         92903 |        75624 |    ACIS-I |   ACIS-S |       5 |
| 2020:166:06:59:18.610 | 2020:166:07:03:08.210 | 708505227.794 | 708505457.394 | 229.600 | 22378 |         75624 |       -99616 |    ACIS-S |    HRC-S |      10 |
| 2020:166:19:31:31.413 | 2020:166:19:35:21.013 | 708550360.597 | 708550590.197 | 229.600 | 21383 |        -99616 |        75623 |     HRC-S |   ACIS-S |       9 |
| 2020:168:22:10:59.424 | 2020:168:22:14:49.024 | 708732728.608 | 708732958.208 | 229.600 | 22567 |         75623 |       -99616 |    ACIS-S |    HRC-S |      10 |
| 2020:169:11:20:55.427 | 2020:169:11:24:45.027 | 708780124.611 | 708780354.211 | 229.600 | 22459 |        -99616 |        75623 |     HRC-S |   ACIS-S |       9 |
| 2020:171:14:18:25.838 | 2020:171:14:22:48.238 | 708963575.022 | 708963837.422 | 262.400 | 21367 |         75623 |       -99616 |    ACIS-S |    HRC-S |      10 |
| 2020:172:02:54:28.241 | 2020:172:02:58:50.641 | 709008937.425 | 709009199.825 | 262.400 | 22320 |        -99616 |        92903 |     HRC-S |   ACIS-I |      10 |
| 2020:172:14:22:10.643 | 2020:172:14:22:43.443 | 709050199.827 | 709050232.627 |  32.800 | 47120 |         92903 |        75624 |    ACIS-I |   ACIS-S |      10 |
| 2020:173:02:41:16.246 | 2020:173:02:41:49.046 | 709094545.430 | 709094578.230 |  32.800 | 47119 |         75624 |        92903 |    ACIS-S |   ACIS-I |       5 |
| 2020:173:12:26:12.248 | 2020:173:12:26:45.048 | 709129641.432 | 709129674.232 |  32.800 | 47118 |         92903 |        72104 |    ACIS-I |   ACIS-S |       5 |
| 2020:174:05:45:25.052 | 2020:174:05:49:14.652 | 709191994.236 | 709192223.836 | 229.600 | 22817 |         72104 |       -99616 |    ACIS-S |    HRC-S |       9 |
| 2020:174:17:51:23.454 | 2020:174:17:55:45.854 | 709235552.638 | 709235815.038 | 262.400 | 21385 |        -99616 |        75623 |     HRC-S |   ACIS-S |       9 |
| 2020:175:18:58:33.060 | 2020:175:19:01:49.860 | 709325982.244 | 709326179.044 | 196.800 | 22818 |         74472 |       -50504 |    ACIS-S |    HRC-I |       9 |
| 2020:175:21:00:27.460 | 2020:175:21:03:11.460 | 709333296.644 | 709333460.644 | 164.000 | 23269 |        -50504 |        75623 |     HRC-I |   ACIS-S |       9 |
| 2020:176:03:26:57.062 | 2020:176:03:27:29.862 | 709356486.246 | 709356519.046 |  32.800 | 23269 |         75623 |        79007 |    ACIS-S |   ACIS-S |       7 |
| 2020:176:20:42:20.266 | 2020:176:20:46:42.666 | 709418609.450 | 709418871.850 | 262.400 | 22819 |         79007 |       -99616 |    ACIS-S |    HRC-S |       9 |
| 2020:177:09:45:42.669 | 2020:177:09:50:37.869 | 709465611.853 | 709465907.053 | 295.200 | 22318 |        -99616 |        92903 |     HRC-S |   ACIS-I |      10 |
| 2020:177:17:38:34.670 | 2020:177:17:39:07.470 | 709493983.854 | 709494016.654 |  32.800 | 22318 |         92903 |        75624 |    ACIS-I |   ACIS-S |       5 |
| 2020:178:00:07:15.472 | 2020:178:00:07:48.272 | 709517304.656 | 709517337.456 |  32.800 | 21885 |         75624 |        92903 |    ACIS-S |   ACIS-I |      10 |
| 2020:179:08:08:14.679 | 2020:179:08:08:47.479 | 709632563.863 | 709632596.663 |  32.800 | 23288 |         92903 |        75624 |    ACIS-I |   ACIS-S |      10 |
| 2020:179:12:49:13.880 | 2020:179:12:53:03.480 | 709649423.064 | 709649652.664 | 229.600 | 23286 |         75624 |       -99616 |    ACIS-S |    HRC-S |      10 |
| 2020:180:01:22:32.282 | 2020:180:01:26:21.883 | 709694621.466 | 709694851.067 | 229.600 | 22421 |        -99616 |        75623 |     HRC-S |   ACIS-S |       9 |
| 2020:180:19:32:02.686 | 2020:180:19:32:35.486 | 709759991.870 | 709760024.670 |  32.800 | 22933 |         75623 |        92903 |    ACIS-S |   ACIS-I |       9 |
| 2020:181:05:12:36.289 | 2020:181:05:13:09.089 | 709794825.473 | 709794858.273 |  32.800 | 47103 |         92903 |        75624 |    ACIS-I |   ACIS-S |      10 |
